ACS Code,Area of Operations,Task,Type,Description
PA.IV.A.S6a,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,"a. Retract the water rudders, as appropriate (ASES, AMES)"
PA.IV.A.S7,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,Advance the throttle smoothly to takeoff power and confirm proper engine and flight instrument indications prior to rotation.
PA.IV.A.S7a,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,"a. Establish and maintain the most efficient planing/lift-off attitude, and correct for porpoising or skipping (ASES, AMES)"
PA.IV.A.S8,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,"Avoid excessive water spray on the propeller(s) (ASES, AMES)."
PA.IV.A.S9,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,Rotate and lift off at the recommended airspeed and accelerate to VY.
PA.IV.B.K1,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Knowledge,"A stabilized approach, including energy management concepts."
PA.IV.B.K2,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Knowledge,"Effects of atmospheric conditions, including wind, on approach and landing performance."
PA.IV.B.K3,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Knowledge,Wind correction techniques on approach and landing.
PA.IV.B.R1,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Risk Management,"Selection of runway/landing surface, approach path, and touchdown area based on pilot capability, aircraft performance and limitations, available distance, and wind."
PA.IV.B.R2,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Risk Management,Effects of:
PA.IV.B.R2a,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Risk Management,a. Crosswind
PA.IV.B.R2b,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Risk Management,b. Windshear
PA.IV.B.R2c,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Risk Management,c. Tailwind
PA.IV.B.R2d,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Risk Management,d. Wake turbulence
PA.IV.B.R2e,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Risk Management,e. Landing surface/condition
PA.IV.B.R3,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Risk Management,Planning for:
PA.IV.B.R3a,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Risk Management,a. Rejected landing and go-around
PA.IV.B.R3b,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Risk Management,b. Land and hold short operations (LAHSO)
PA.IV.B.R4,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Risk Management,Collision hazards.
PA.IV.B.R5,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
PA.IV.B.R6,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.IV.B.S1,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Skills,Complete the appropriate checklist(s).
PA.IV.B.S10,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Skills,"Touch down at a proper pitch attitude, within 400 feet beyond or on the specified point, with no side drift, and with the airplane'ss longitudinal axis aligned with and over the runway center/landing path."
PA.IV.B.S11,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Skills,Execute a timely go-around if the approach cannot be made within the tolerances specified above or for any other condition that may result in an unsafe approach or landing.
PA.IV.B.S12,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Skills,"Use runway incursion avoidance procedures, if applicable."
PA.IV.B.S2,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Skills,Make radio calls as appropriate.
PA.IV.B.S3,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Skills,Ensure the airplane is aligned with the correct/assigned runway or landing surface.
PA.IV.B.S4,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Skills,Scan the runway or landing surface and adjoining area for traffic and obstructions.
PA.IV.B.S5,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Skills,"Select and aim for a suitable touchdown point considering the wind conditions, landing surface, and obstructions."
PA.IV.B.S6,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Skills,"Establish the recommended approach and landing configuration, airspeed, and trim, and adjust pitch attitude and power as required to maintain a stabilized approach."
PA.IV.B.S7,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Skills,"Maintain manufacturer'ss published approach airspeed or in its absence not more than 1.3 times the stalling speed or the minimum steady flight speed in the landing configuration (VSO), +10/-5 knots with gust factor applied."
PA.IV.B.S8,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Skills,Maintain directional control and appropriate crosswind correction throughout the approach and landing.
PA.IV.B.S9,"IV. Takeoffs, Landings, and Go-Arounds",Task B. Normal Approach and Landing,Skills,"Make smooth, timely, and correct control application during round out and touchdown."
PA.IV.C.K1,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Knowledge,"Effects of atmospheric conditions, including wind, on takeoff and climb performance."
PA.IV.C.K2,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Knowledge,Best angle of climb speed (VX) and best rate of climb speed (VY).
PA.IV.C.K3,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Knowledge,Appropriate airplane configuration.
PA.IV.C.K4,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Knowledge,Ground effect.
PA.IV.C.K5,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Knowledge,Importance of weight transfer from wheels to wings.
PA.IV.C.K6,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Knowledge,Left turning tendencies.
PA.IV.C.R1,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Risk Management,"Selection of runway based on pilot capability, airplane performance and limitations, available distance, and wind."
PA.IV.C.R2,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Risk Management,Effects of:
PA.IV.C.R2a,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Risk Management,a. Crosswind
PA.IV.C.R2b,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Risk Management,b. Windshear
PA.IV.C.R2c,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Risk Management,c. Tailwind
PA.IV.C.R2d,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Risk Management,d. Wake turbulence
PA.IV.C.R2e,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Risk Management,e. Takeoff surface/condition
PA.IV.C.R3,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Risk Management,"Abnormal operations, including planning for:"
PA.IV.C.R3a,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Risk Management,a. Rejected takeoff
PA.IV.C.R3b,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Risk Management,b. Potential engine failure in takeoff/climb phase of flight
PA.IV.C.R4,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Risk Management,Collision hazards.
PA.IV.C.R5,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
PA.IV.C.R6,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.IV.C.S1,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Skills,Complete the appropriate checklist(s).
PA.IV.C.S10,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Skills,"Establish a pitch attitude for VX or VY, as appropriate, and maintain selected airspeed +10/-5 knots during the climb."
PA.IV.C.S11,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Skills,Configure the airplane after a positive rate of climb has been verified or in accordance with airplane manufacturer'ss instructions.
PA.IV.C.S12,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Skills,"Maintain VX or VY, as appropriate, +10/-5 knots to a safe maneuvering altitude."
PA.IV.C.S13,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Skills,Maintain directional control and proper wind-drift correction throughout takeoff and climb.
PA.IV.C.S14,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Skills,"Comply with noise abatement procedures, as applicable."
PA.IV.C.S2,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Skills,Make radio calls as appropriate.
PA.IV.C.S3,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Skills,Verify assigned/correct runway.
PA.IV.C.S4,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Skills,Determine wind direction with or without visible wind direction indicators.
PA.IV.C.S5,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Skills,"Position the flight controls for the existing wind, if applicable."
PA.IV.C.S6,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Skills,"Clear the area, maintain necessary flight control inputs, taxi into takeoff position and align the airplane on the runway centerline without stopping, while advancing the throttle smoothly to takeoff power."
PA.IV.C.S7,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Skills,Confirm takeoff power and proper engine and flight instrument indications.
PA.IV.C.S8,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Skills,Establish and maintain a pitch attitude that transfers the weight of the airplane from the wheels to the wings as rapidly as possible.
PA.IV.C.S9,"IV. Takeoffs, Landings, and Go-Arounds",Task C. Soft-Field Takeoff and Climb (ASEL),Skills,"Lift off at the lowest possible airspeed and remain in ground effect while accelerating to VX or VY, as appropriate."
PA.IV.D.K1,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Knowledge,"A stabilized approach, including energy management concepts."
PA.IV.D.K2,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Knowledge,"Effects of atmospheric conditions, including wind, on approach and landing performance."
PA.IV.D.K3,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Knowledge,Wind correction techniques on approach and landing.
PA.IV.D.R1,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Risk Management,"Selection of runway based on pilot capability, airplane performance and limitations, available distance, and wind."
PA.IV.D.R2,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Risk Management,Effects of:
PA.IV.D.R2a,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Risk Management,a. Crosswind
PA.IV.D.R2b,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Risk Management,b. Windshear
PA.IV.D.R2c,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Risk Management,c. Tailwind
PA.IV.D.R2d,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Risk Management,d. Wake turbulence
PA.IV.D.R2e,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Risk Management,e. Landing surface/condition
PA.IV.D.R3,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Risk Management,Planning for:
PA.IV.D.R3a,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Risk Management,a. Rejected landing and go-around
PA.IV.D.R3b,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Risk Management,b. Land and hold short operations (LAHSO)
PA.IV.D.R4,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Risk Management,Collision hazards.
PA.IV.D.R5,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
PA.IV.D.R6,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.IV.D.S1,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Skills,Complete the appropriate checklist(s).
PA.IV.D.S10,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Skills,"Touch down at a proper pitch attitude with minimum sink rate, no side drift, and with the airplane'ss longitudinal axis aligned with the center of the runway."
PA.IV.D.S11,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Skills,Maintain elevator as recommended by manufacturer during rollout and exit the “soft” area at a speed that would preclude sinking into the surface.
PA.IV.D.S12,"IV. Takeoffs, Landings, and Go-Arounds",Task D. Soft-Field Approach and Landing (ASEL),Skills,Execute a timely go-around if the approach cannot be made within the tolerances specified above or for any other condition that may result in an unsafe approach or landing.
